id,title,release_date,popularity,vote_average,vote_count,release_year,release_month,film_age,log_vote_count,log_popularity,engagement_ratio,log_engagement,votes_per_year,popularity_per_year,language_rarity,original_language_cn,original_language_de,original_language_en,original_language_es,original_language_fr,original_language_hi,original_language_it,original_language_ja,original_language_ko,original_language_other,original_language_zh,genre_10752,genre_12,genre_14,genre_16,genre_18,genre_10770,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_37,genre_9648,genre_53,genre_80,genre_99,genre_878,genre_10749,genre_10751,genre_count,trend_score,popularity_score
677638,We Bare Bears: The Movie,2020-06-30,29.1055,7.8,844,2020,6,6,6.739336627357174,3.404707879315279,28.0347444819053,3.3684931984376165,120.57142857142857,4.157928571428571,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,4.157928571428571,24565.041999999998
567609,Ready or Not,2019-08-21,29.0742,7.051,5275,2019,8,7,8.570923513837204,3.403667661340701,175.39951187396505,5.172751376414469,659.375,3.634275,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3.634275,153366.405
1061474,Superman,2025-07-09,28.8714,7.341,4615,2025,7,1,8.437283808187935,3.396901500898664,154.4956044912525,5.046617464282488,2307.5,14.4357,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,14.4357,133241.511
1659087,180,2026-04-16,28.8433,5.8,8,2026,4,0,2.1972245773362196,3.39596035903329,0.268066869280542,0.23749359065020292,8.0,28.8433,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,28.8433,230.7464
1276038,A Desert,2025-05-02,28.6176,6.1,24,2025,5,1,3.2188758248682006,3.3883687792232835,0.81032899357139,0.5935085931646694,12.0,14.3088,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,14.3088,686.8224
346364,It,2017-09-06,28.1847,7.239,20220,2017,9,9,9.91447694733573,3.3736445993498814,692.8287767220496,6.542225210645883,2022.0,2.81847,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2.81847,569894.634
911430,F1,2025-06-25,28.0767,7.8,3741,2025,6,1,8.227375506834035,3.369937166170949,128.65971723063484,4.86491345889174,1870.5,14.03835,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14.03835,105034.9347
129,Spirited Away,2001-07-20,28.0629,8.5,18165,2001,7,25,9.80730699406216,3.36946244669372,625.0236555883962,6.439388158865998,698.6538461538462,1.0793423076923077,0.08890825887993027,False,False,False,False,False,False,False,True,False,False,False,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.0793423076923077,509762.5785
402431,Wicked,2024-10-16,27.9768,6.912,2966,2024,10,2,7.995306620290822,3.366495509815705,102.35774826757958,4.6381962544601025,988.6666666666666,9.3256,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9.3256,82979.1888
1424965,Ice Skater,2026-02-24,27.948,4.559,17,2026,2,0,2.8903717578961645,3.3655011170038813,0.5872599143291419,0.4620092052792765,17.0,27.948,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,27.948,475.116
1297454,The Death That Awaits,2025-02-06,27.7153,6.029,17,2025,2,1,2.8903717578961645,3.357430081762991,0.5920188888850195,0.46500295222932897,8.5,13.85765,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,13.85765,471.1601
1493859,Pizza Movie,2026-03-13,27.4922,6.424,72,2026,3,0,4.290459441148391,3.3496303656057203,2.5270073914966202,1.260449746941149,72.0,27.4922,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,27.4922,1979.4384
1167307,David,2025-12-14,27.2937,8.1,128,2025,12,1,4.859812404361672,3.3426391650258407,4.523975301922336,1.7090977644875096,64.0,13.64685,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,13.64685,3493.5936
1054867,One Battle After Another,2025-09-23,27.2264,7.4,3492,2025,9,1,8.158516244806831,3.3402577102227995,123.71396990051866,4.8260228744828355,1746.0,13.6132,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,13.6132,95074.58880000001
14836,Coraline,2009-02-05,26.9201,7.9,8868,2009,2,17,9.090317329376452,3.329346859549649,317.6206388945598,5.764001175335632,492.6666666666667,1.4955611111111111,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.4955611111111111,238727.4468
426889,Le Clitoris,2017-08-24,26.8398,6.756,43,2017,8,9,3.784189633918261,3.3264666515323684,1.5445513257997543,0.933954338114586,4.3,2.68398,0.02353453911527566,False,False,False,False,True,False,False,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2.68398,1154.1114
38,Eternal Sunshine of the Spotless Mind,2004-03-19,26.7945,8.091,16218,2004,3,22,9.69393867348769,3.3248381593967165,583.4967349655508,6.370751194866668,705.1304347826087,1.1649782608695651,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1.1649782608695651,434553.201
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,26.5261,8.326,798,2025,9,1,6.683360945766275,3.315134645479609,28.99066703964601,3.4008862345824564,399.0,13.26305,0.08890825887993027,False,False,False,False,False,False,False,True,False,False,False,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,13.26305,21167.8278
1291608,Dhurandhar,2025-12-05,26.5085,7.0,253,2025,12,1,5.537334267018537,3.3144950478228625,9.197157242306924,2.322108979711064,126.5,13.25425,0.006319459577249945,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,13.25425,6706.650500000001
1241982,Moana 2,2024-11-21,26.0305,6.995,3022,2024,11,2,8.014004994779459,3.296965858082495,111.7996337470635,4.725613092135491,1007.3333333333334,8.676833333333333,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,8.676833333333333,78664.171
569094,Spider-Man: Across the Spider-Verse,2023-05-31,25.3682,8.332,8454,2023,5,3,9.042513261332681,3.272158738649752,320.61346622067487,5.773350409004904,2113.5,6.34205,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,6.34205,214462.76280000003
361743,Top Gun: Maverick,2022-05-21,25.1616,8.152,10769,2022,5,4,9.284519770150434,3.2642926867981847,411.63384502476913,6.022560625932145,2153.8,5.03232,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5.03232,270965.2704
372058,Your Name.,2016-08-26,25.1381,8.478,12426,2016,8,10,9.427626803805994,3.263394020014951,475.3979822557875,6.1662536020729055,1129.6363636363637,2.285281818181818,0.08890825887993027,False,False,False,False,False,False,False,True,False,False,False,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2.285281818181818,312366.0306
424,Schindler's List,1993-12-15,24.9226,8.6,17320,1993,12,33,9.75967491717028,3.2551151750954737,668.1428560406749,6.505997574015139,509.4117647058824,0.7330176470588236,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.7330176470588236,431659.432
519182,Despicable Me 4,2024-06-20,24.7714,6.982,3149,2024,6,2,8.055157731819678,3.249265349925145,122.18971417928401,4.813725558809522,1049.6666666666667,8.257133333333334,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,5,8.257133333333334,78005.1386
