id,title,release_date,popularity,vote_average,vote_count,genre_ids,original_language
76341,Mad Max: Fury Road,2015-05-13,18.8379,7.632,23940,28|12|878,en
429,"The Good, the Bad and the Ugly",1966-12-23,18.8347,8.469,9551,37,it
1266990,Kulong,2024-05-24,18.8045,6.324,17,18,tl
734286,MiLK,2010-11-19,18.8043,7.8,2,18,ja
1426964,State of Fear,2026-02-10,18.7988,5.656,64,28|53|80|18,pt
8966,Twilight,2008-11-20,18.7829,6.3,14321,14|18|10749,en
201811,Crazy Underwear,1992-02-04,18.769,3.1,14,35,it
35739,Do or Die,1991-06-28,18.7568,4.2,40,28|53,en
646380,Don't Look Up,2021-12-08,18.7418,7.065,9236,35|878|18,en
12153,White Chicks,2004-06-23,18.68,6.93,4460,35|80,en
1214931,Nuremberg,2025-11-06,18.6123,7.376,848,36|18,en
122917,The Hobbit: The Battle of the Five Armies,2014-12-10,18.6099,7.332,15252,28|12|14,en
1305781,Blades of the Guardians: Wind Rises in the Desert,2026-02-17,18.5891,7.171,35,28|18|36,zh
414906,The Batman,2022-03-01,18.5811,7.658,11787,80|9648|53,en
396535,Train to Busan,2016-07-20,18.5736,7.749,8283,27|53|28|12,ko
216015,Fifty Shades of Grey,2015-02-11,18.494,5.87,12331,18|10749|53,en
1175942,The Bad Guys 2,2025-07-24,18.471,7.661,744,10751|35|80|12|16,en
696393,Cold Storage,2026-01-22,18.4453,6.717,320,27|878|35,en
348,Alien,1979-05-25,18.3805,8.17,16212,27|878,en
533533,TRON: Ares,2025-10-08,18.3225,6.473,1325,878|12|28,en
441168,From Straight A's to XXX,2017-02-11,18.3207,5.822,160,18|10770,en
378236,The Emoji Movie,2017-07-23,18.3095,5.4,3297,16|10751|35,en
1455079,"You, Me & Tuscany",2026-04-09,18.3002,4.727,11,10749|35,en
111,Scarface,1983-12-09,18.2939,8.2,12900,28|80|18,en
177572,Big Hero 6,2014-10-24,18.2391,7.724,16482,12|10751|16|28|35,en
673,Harry Potter and the Prisoner of Azkaban,2004-05-31,18.2361,8.0,23012,12|14,en
1108427,Moana,2026-07-08,18.1913,0.0,0,10751|14|35|12,en
1233506,The Shrinking Man,2025-10-22,18.0486,5.9,80,12|878,fr
1291595,Insidious: Out of the Further,2026-08-19,18.0354,0.0,0,27|53,en
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,18.028,8.1,21852,12|14,en
1584215,The Internship,2026-01-13,18.0151,6.208,65,28,en
582834,The Key,1983-12-24,17.9194,0.0,0,18,ja
330457,Frozen II,2019-11-20,17.9014,7.233,10230,10751|16|12|35|14,en
1930,The Amazing Spider-Man,2012-06-23,17.8309,6.732,18389,28|12|878,en
933260,The Substance,2024-09-07,17.8195,7.1,5875,27|878|18,en
68721,Iron Man 3,2013-04-18,17.8068,6.9,23305,28|12|878,en
98,Gladiator,2000-05-04,17.7555,8.224,20742,28|18|12,en
1357633,Solo Leveling -ReAwakening-,2024-11-26,17.7404,7.13,265,28|12|14|16,ja
354912,Coco,2017-10-27,17.728,8.197,20830,10751|16|10402|12,en
604079,The Long Walk,2025-09-10,17.6947,6.923,1332,878|53|27,en
646315,The Legendary Lighter,2019-10-29,17.5946,4.8,4,28,ko
1156593,Your Fault,2024-12-26,17.4884,7.088,1531,18|10749,es
475557,Joker,2019-10-01,17.4825,8.126,27545,80|53|18,en
107257,A Perfect Ending,2012-06-01,17.4647,6.2,133,18|10749,en
80785,Amazon Jail,1982-01-01,17.4318,4.1,24,53|12|28,pt
1223601,Sisu: Road to Revenge,2025-10-21,17.4095,7.344,668,28|10752,fi
1228710,Star Wars: The Mandalorian and Grogu,2026-05-20,17.4069,0.0,0,28|12|878,en
293660,Deadpool,2016-02-09,17.3606,7.623,32572,28|12|35,en
72190,World War Z,2013-06-19,17.3523,6.8,16397,28|27|878|53,en
259694,How to Be Single,2016-02-08,17.3314,6.254,3341,35|10749,en
214756,Ted 2,2015-06-25,17.2842,6.316,7928,35|14,en
389,12 Angry Men,1957-04-10,17.2619,8.6,9895,18,en
493125,An Affair - Two Sisters,2017-09-21,17.2167,4.7,3,18|10749,ko
1284120,The Ugly Stepsister,2025-03-07,17.1995,7.303,1093,27|35|18,no
1620551,Feel My Voice,2026-04-03,17.1813,6.463,80,10402|18|35,it
524047,Greenland,2020-07-29,17.0853,7.125,5211,28|12|53|878,en
324786,Hacksaw Ridge,2016-10-07,17.0528,8.189,14739,18|36|10752,en
